domain,grade,score,severity,violations,violation_count,spf_present,spf_lookups,spf_all,mx_present,mx_count,dmarc_present,dmarc_policy,dmarc_pct,dmarc_rua,dkim_present,dkim_selectors,dkim_algos,mta_sts_present,mta_sts_mode,tls_rpt_present,tls_rpt_rua,starttls_grade,starttls_worst,notes,advice
birmingham.ac.uk,F,20,HIGH,"R2_SPF_MISSING,R4_DMARC_MISSING,R6_DKIM_NOT_FOUND,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",5,False,0,,True,3,False,,100,,False,,,False,,False,,,,,SPF record not published - enables spoofing | DMARC not published - no policy enforcement or reporting | No common DKIM selectors found - message integrity unverified | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
leeds.ac.uk,B,84,WARN,"R3C_SPF_SOFTFAIL,R5B_DMARC_QUARANTINE,R8_MTA_STS_MISSING,R12_NO_STRICT_POLICY",4,True,7,~all,True,1,True,quarantine,100,"mailto:6w8agtmq3ss@dmarc-rua.mailcheck.service.ncsc.gov.uk,mailto:dmarc_rua@leeds.ac.uk,mailto:es0ffxt4@rua.eu.dmarcmanager.app,mailto:dmarc_agg@vali.email",True,"selector1,selector2",rsa,False,,True,mailto:tls-rua@mailcheck.service.ncsc.gov.uk,,,,SPF uses ~all (softfail) - consider -all for strict enforcement | DMARC p=quarantine - consider upgrading to p=reject | MTA-STS policy not found - TLS not enforced for inbound mail | Neither SPF nor DMARC have strict enforcement
bristol.ac.uk,B,84,WARN,"R3C_SPF_SOFTFAIL,R5B_DMARC_QUARANTINE,R8_MTA_STS_MISSING,R12_NO_STRICT_POLICY",4,True,6,~all,True,1,True,quarantine,100,"mailto:dmarc-rua@bristol.ac.uk,mailto:dmarc-rua@dmarc.service.gov.uk",True,"fm1,fm2,google,k2,selector1,selector2",rsa,False,,True,mailto:tls-rua@mailcheck.service.ncsc.gov.uk,,,,SPF uses ~all (softfail) - consider -all for strict enforcement | DMARC p=quarantine - consider upgrading to p=reject | MTA-STS policy not found - TLS not enforced for inbound mail | Neither SPF nor DMARC have strict enforcement
warwick.ac.uk,C,74,WARN,"R3C_SPF_SOFTFAIL,R5B_DMARC_QUARANTINE,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING,R12_NO_STRICT_POLICY",5,True,2,~all,True,1,True,quarantine,100,mailto:dmarc_agg@vali.email,True,"default,dkim,k2,selector1,selector2",rsa,False,,False,,,,,SPF uses ~all (softfail) - consider -all for strict enforcement | DMARC p=quarantine - consider upgrading to p=reject | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports | Neither SPF nor DMARC have strict enforcement
glasgow.ac.uk,C,66,WARN,"R3C_SPF_SOFTFAIL,R5_DMARC_NONE,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING,R12_NO_STRICT_POLICY",5,True,3,~all,True,4,True,none,100,mailto:dmarc-rua@gla.ac.uk,True,"k2,selector1,selector2",rsa,False,,False,,,,,"SPF uses ~all (softfail) - consider -all for strict enforcement | DMARC policy is p=none - monitoring only, no enforcement | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports | Neither SPF nor DMARC have strict enforcement"
exeter.ac.uk,A,90,WARN,R8_MTA_STS_MISSING,1,True,7,-all,True,1,True,reject,100,"mailto:dmarc-rua@dmarc.service.gov.uk,mailto:dmarc_rua@exeter.ac.uk,mailto:2855c97146@rua.easydmarc.eu",True,"fm1,fm2,k2,mail,selector2",rsa,False,,True,"mailto:tls-rua@mailcheck.service.ncsc.gov.uk,mailto:dmarc_rua@exeter.ac.uk",,,,MTA-STS policy not found - TLS not enforced for inbound mail
gov.uk,D,45,HIGH,"R1_MX_MISSING,R6_DKIM_NOT_FOUND,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",4,True,0,-all,False,0,True,reject,100,mailto:dmarc-rua@dmarc.service.gov.uk,False,,,False,,False,,,,Strict alignment enabled,No MX records found - domain cannot receive email | No common DKIM selectors found - message integrity unverified | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
nhs.uk,C,70,WARN,"R6_DKIM_NOT_FOUND,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",3,True,6,-all,True,1,True,reject,100,"mailto:A-NE.postmaster@nhs.net,mailto:dmarc-rua@dmarc.service.gov.uk",False,,,False,,False,,,,Strict alignment enabled,No common DKIM selectors found - message integrity unverified | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
police.uk,F,35,HIGH,"R1_MX_MISSING,R5_DMARC_NONE,R6_DKIM_NOT_FOUND,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",5,True,0,-all,False,0,True,none,100,mailto:dmarc-rua@dmarc.service.gov.uk,False,,,False,,False,,,,Strict alignment enabled,"No MX records found - domain cannot receive email | DMARC policy is p=none - monitoring only, no enforcement | No common DKIM selectors found - message integrity unverified | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports"
bbc.co.uk,C,68,WARN,"R3C_SPF_SOFTFAIL,R6_DKIM_NOT_FOUND,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",4,True,0,~all,True,2,True,reject,100,mailto:02fd5b325c28457@rep.dmarcanalyzer.com,False,,,False,,False,,,,Strict alignment enabled,SPF uses ~all (softfail) - consider -all for strict enforcement | No common DKIM selectors found - message integrity unverified | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
channel4.com,C,68,WARN,"R3C_SPF_SOFTFAIL,R6_DKIM_NOT_FOUND,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",4,True,9,~all,True,2,True,reject,100,mailto:2e295de150b4712@rep.dmarcanalyzer.com,False,,,False,,False,,,,,SPF uses ~all (softfail) - consider -all for strict enforcement | No common DKIM selectors found - message integrity unverified | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
google.com,A,88,WARN,"R3C_SPF_SOFTFAIL,R6_DKIM_NOT_FOUND",2,True,3,~all,True,1,True,reject,100,mailto:mailauth-reports@google.com,False,,,True,enforce,True,mailto:sts-reports@google.com,,,,SPF uses ~all (softfail) - consider -all for strict enforcement | No common DKIM selectors found - message integrity unverified
microsoft.com,A+,100,OK,,0,True,7,-all,True,1,True,reject,100,mailto:itex-rua@microsoft.com,True,selector2,rsa,True,enforce,True,https://tlsrpt.azurewebsites.net/report,,,,All checks passed
amazon.co.uk,C,68,WARN,"R5B_DMARC_QUARANTINE,R6_DKIM_NOT_FOUND,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",4,True,5,-all,True,1,True,quarantine,100,mailto:report@dmarc.amazon.com,False,,,False,,False,,,,,DMARC p=quarantine - consider upgrading to p=reject | No common DKIM selectors found - message integrity unverified | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
apple.com,C,74,WARN,"R3C_SPF_SOFTFAIL,R5B_DMARC_QUARANTINE,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING,R12_NO_STRICT_POLICY",5,True,2,~all,True,6,True,quarantine,100,mailto:d@rua.agari.com,True,"selector1,selector2",rsa,False,,False,,,,,SPF uses ~all (softfail) - consider -all for strict enforcement | DMARC p=quarantine - consider upgrading to p=reject | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports | Neither SPF nor DMARC have strict enforcement
meta.com,C,70,WARN,"R6_DKIM_NOT_FOUND,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",3,True,7,,True,2,True,reject,100,mailto:a@dmarc.facebookmail.com,False,,,False,,False,,,,,No common DKIM selectors found - message integrity unverified | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
openai.com,B,80,WARN,"R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",2,True,9,-all,True,5,True,reject,100,mailto:tdfyvl0n@ag.dmarcian.com,True,"google,selector1",rsa,False,,False,,,,,MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
github.com,B,78,WARN,"R3C_SPF_SOFTFAIL,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",3,True,9,~all,True,5,True,reject,100,mailto:dmarc@github.com,True,"google,k2",rsa,False,,False,,,,,SPF uses ~all (softfail) - consider -all for strict enforcement | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
gitlab.com,C,60,WARN,"R3_SPF_LOOKUPS,R5D_DMARC_NO_RUA,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",4,True,14,-all,True,5,True,reject,100,,True,"google,mail",rsa,False,,False,,,,SPF may exceed 10 DNS lookups (approx),SPF exceeds 10 DNS lookups (14) - may cause permerror | DMARC has no rua= tag - not receiving aggregate reports | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
cloudflare.com,B,80,WARN,"R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",2,True,9,-all,True,4,True,reject,100,"mailto:rua@cloudflare.com,mailto:cloudflare@dmarc.area1reports.com",True,mandrill,rsa,False,,False,,,,,MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
digitalocean.com,B,80,WARN,"R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",2,True,8,-all,True,5,True,reject,100,mailto:fdpfb1lo@ag.dmarcian.com,True,google,rsa,False,,False,,,,,MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
aws.amazon.com,F,0,HIGH,"R1_MX_MISSING,R2_SPF_MISSING,R4_DMARC_MISSING,R6_DKIM_NOT_FOUND,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",6,False,0,,False,0,False,,100,,False,,,False,,False,,,,,No MX records found - domain cannot receive email | SPF record not published - enables spoofing | DMARC not published - no policy enforcement or reporting | No common DKIM selectors found - message integrity unverified | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
tesco.com,B,80,WARN,"R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",2,True,6,-all,True,2,True,reject,100,mailto:dmarc_rua@emaildefense.proofpoint.com,True,selector2,rsa,False,,False,,,,,MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
sainsburys.co.uk,B,78,WARN,"R3C_SPF_SOFTFAIL,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",3,True,9,~all,True,2,True,reject,100,mailto:dmarc_rua@emaildefense.proofpoint.com,True,"mandrill,selector1",rsa,False,,False,,,,,SPF uses ~all (softfail) - consider -all for strict enforcement | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
asda.com,C,70,WARN,"R5_DMARC_NONE,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",3,True,1,-all,True,2,True,none,100,mailto:dmarc-rua@asda.uk,True,mail,,False,,False,,,,,"DMARC policy is p=none - monitoring only, no enforcement | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports"
morrisons.co.uk,C,66,WARN,"R3C_SPF_SOFTFAIL,R5_DMARC_NONE,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING,R12_NO_STRICT_POLICY",5,True,6,~all,True,2,True,none,100,mailto:79a0cda2@inbox.ondmarc.com,True,google,rsa,False,,False,,,,,"SPF uses ~all (softfail) - consider -all for strict enforcement | DMARC policy is p=none - monitoring only, no enforcement | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports | Neither SPF nor DMARC have strict enforcement"
bt.com,B,78,WARN,"R3C_SPF_SOFTFAIL,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",3,True,3,~all,True,1,True,reject,100,"mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc.ag@bt.com",True,selector1,rsa,False,,False,,,,,SPF uses ~all (softfail) - consider -all for strict enforcement | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
sky.com,C,70,WARN,"R6_DKIM_NOT_FOUND,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",3,True,4,-all,True,1,True,reject,100,mailto:5763eef50c@rep.dmarcanalyzer.com,False,,,False,,False,,,,Strict alignment enabled,No common DKIM selectors found - message integrity unverified | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
vodafone.co.uk,B,80,WARN,"R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",2,True,6,-all,True,1,True,reject,100,mailto:adeeb5c538f9684@rep.dmarcanalyzer.com,True,"selector1,selector2",rsa,False,,False,,,,,MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
ee.co.uk,B,78,WARN,"R3C_SPF_SOFTFAIL,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",3,True,7,~all,True,1,True,reject,100,"mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc.ag@bt.com",True,selector1,rsa,False,,False,,,,,SPF uses ~all (softfail) - consider -all for strict enforcement | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
three.co.uk,C,74,WARN,"R3C_SPF_SOFTFAIL,R5B_DMARC_QUARANTINE,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING,R12_NO_STRICT_POLICY",5,True,9,~all,True,2,True,quarantine,100,"mailto:dmarc_agg@vali.email,mailto:dmarc@three.co.uk",True,"k2,mandrill",rsa,False,,False,,,,,SPF uses ~all (softfail) - consider -all for strict enforcement | DMARC p=quarantine - consider upgrading to p=reject | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports | Neither SPF nor DMARC have strict enforcement
virgin.com,A,88,WARN,"R3C_SPF_SOFTFAIL,R9_MTA_STS_MODE",2,True,7,~all,True,3,True,reject,100,mailto:2c6e46cb@inbox.ondmarc.com,True,"k2,mandrill",rsa,True,testing,True,mailto:2c6e46cb@inbox.ondmarc.com,,,,SPF uses ~all (softfail) - consider -all for strict enforcement | MTA-STS mode is 'testing' - should be 'enforce' for protection
barclays.co.uk,C,70,WARN,"R6_DKIM_NOT_FOUND,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",3,True,1,-all,True,2,True,reject,100,mailto:dmarc_rua@emaildefense.proofpoint.com,False,,,False,,False,,,,,No common DKIM selectors found - message integrity unverified | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
hsbc.co.uk,C,68,WARN,"R3C_SPF_SOFTFAIL,R6_DKIM_NOT_FOUND,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",4,True,1,~all,True,2,True,reject,100,mailto:dmarc_rua@emaildefense.proofpoint.com,False,,,False,,False,,,,,SPF uses ~all (softfail) - consider -all for strict enforcement | No common DKIM selectors found - message integrity unverified | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
lloydsbank.co.uk,C,70,WARN,"R6_DKIM_NOT_FOUND,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",3,True,5,-all,True,2,True,reject,100,mailto:d@rua.agari.com,False,,,False,,False,,,,,No common DKIM selectors found - message integrity unverified | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
natwest.com,B,80,WARN,"R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",2,True,0,-all,True,8,True,reject,100,mailto:rbs@rua.netcraft.com,True,mail,,False,,False,,,,,MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
protonmail.com,C,74,WARN,"R3C_SPF_SOFTFAIL,R5B_DMARC_QUARANTINE,R5D_DMARC_NO_RUA,R6_DKIM_NOT_FOUND,R12_NO_STRICT_POLICY",5,True,2,~all,True,2,True,quarantine,100,,False,,,True,enforce,True,https://reports.proton.me/reports/smtptls,,,Strict alignment enabled,SPF uses ~all (softfail) - consider -all for strict enforcement | DMARC p=quarantine - consider upgrading to p=reject | DMARC has no rua= tag - not receiving aggregate reports | No common DKIM selectors found - message integrity unverified | Neither SPF nor DMARC have strict enforcement
tutanota.com,A,88,WARN,"R5B_DMARC_QUARANTINE,R5D_DMARC_NO_RUA",2,True,1,-all,True,1,True,quarantine,100,,True,"s1,s2",rsa,True,enforce,True,mailto:mta-sts-reports@tutanota.com,,,Strict alignment enabled,DMARC p=quarantine - consider upgrading to p=reject | DMARC has no rua= tag - not receiving aggregate reports
fastmail.com,B,76,WARN,"R3C_SPF_SOFTFAIL,R5_DMARC_NONE,R9_MTA_STS_MODE,R12_NO_STRICT_POLICY",4,True,1,~all,True,2,True,none,100,mailto:e3936a44@inbox.ondmarc.com,True,"fm1,fm2,fm3",rsa,True,testing,True,mailto:e3936a44@inbox.ondmarc.com,,,,"SPF uses ~all (softfail) - consider -all for strict enforcement | DMARC policy is p=none - monitoring only, no enforcement | MTA-STS mode is 'testing' - should be 'enforce' for protection | Neither SPF nor DMARC have strict enforcement"
northflux.co.uk,C,64,WARN,"R3C_SPF_SOFTFAIL,R5B_DMARC_QUARANTINE,R6_DKIM_NOT_FOUND,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING,R12_NO_STRICT_POLICY",6,True,3,~all,True,5,True,quarantine,100,mailto:dmarc_rua@onsecureserver.net,False,,,False,,False,,,,,SPF uses ~all (softfail) - consider -all for strict enforcement | DMARC p=quarantine - consider upgrading to p=reject | No common DKIM selectors found - message integrity unverified | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports | Neither SPF nor DMARC have strict enforcement
example.com,C,70,WARN,"R5D_DMARC_NO_RUA,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",3,True,0,-all,True,1,True,reject,100,,True,"amazonses,cm,default,dkim,everlytickey1,everlytickey2,fm1,fm2,fm3,google,k1,k2,klaviyo,mail,mailchimp,mailgun,mandrill,mg,mxvault,postfix,protonmail,s1,s2,selector1,selector2,sendgrid,smtp,sparkpost,turbo-smtp,zoho",,False,,False,,,,Strict alignment enabled,DMARC has no rua= tag - not receiving aggregate reports | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
